transfer,well ,volume_ul,dilution ,lys_r1,lys_r2,lys_r3,lys_r4,his_r1,his_r2,his_r3,his_r3,his_r4
7,B6,10,5,17,8,,,,,,,
7,B6,10,6,,,,,,,,,
7,C1,10,3,,,,,,,,,
7,C1,10,4,,,,,26,16,31,17,
7,C1,10,5,66,5,,,1,,,,
7,C1,10,6,,,,,,,,,
7,C2,10,3,,,,,,,,,
7,C2,10,4,,,,,16,2,24,,
7,C2,10,5,37,11,,,,,,,
7,C2,10,6,,,,,,,,,
7,C3,10,3,,,,,,,,,
7,C3,10,4,,,,,44,54,40,50,
7,C3,10,5,109,98,,,3,,,,
7,C3,10,6,,,,,,,,,
7,C4,10,3,,,,,,,,,
7,C4,10,4,82,66,,,,,,,
7,C4,10,5,23,9,,,15,17,,,
7,C4,10,6,,,,,,,,,
7,C5,10,3,,,,,,,,,
7,C5,10,4,96,94,,,19,29,19,22,
7,C5,10,5,2,32,,,,,,,
7,C5,10,6,,,,,,,,,
7,C6,10,3,,,,,,,,,
7,C6,10,4,113,,,,46,48,,,
7,C6,10,5,47,,,,3,7,1,,
7,C6,10,6,,,,,,,,,
7,D1,10,3,,,,,,,,,
7,D1,10,4,79,38,26,24,1,1,1,,
7,D1,10,5,3,1,,,,,,,
7,D1,10,6,,,,,,,,,
7,D2,10,3,,,,,,,,,
7,D2,10,4,66,67,70,58,2,3,1,,
7,D2,10,5,1,,,,,,,,
7,D2,10,6,,,,,,,,,
7,D3,10,3,,,,,,,,,
7,D3,10,4,,,,,4,8,2,3,
7,D3,10,5,,,,,,,,,
7,D3,10,6,,,,,,,,,
7,D4,10,3,,,,,,,,,
7,D4,10,4,77,78,6,67,18,17,,,
7,D4,10,5,,,,,,,,,
7,D4,10,6,,,,,,,,,
7,D5,10,3,,,,,,,,,
7,D5,10,4,5,5,,,13,4,9,6,
7,D5,10,5,,,,,,,,,
7,D5,10,6,,,,,,,,,
7,D6,10,2,,,,,2,3,,,
7,D6,10,3,,,,,,,,,
7,D6,10,4,,,,,1,,,,
7,D6,10,5,,,,,,,,,
7,D6,10,6,,,,,,,,,
8,A1,10,3,,,,,,,,,
8,A1,10,4,,,,,,,,,
8,A1,10,5,49,30,18,17,,,,,
8,A1,10,6,,11,3,,10,11,,,
8,A2,10,3,,,,,,,,,
8,A2,10,4,44,43,,,,,,,
8,A2,10,5,25,21,11,15,,,,,
8,A2,10,6,6,3,,,25,,,,
8,A3,10,3,,,,,,,,,
8,A3,10,4,,,,,,,,,
8,A3,10,5,33,29,55,50,,,,,
8,A3,10,6,3,9,,,36,,,,
8,A4,10,3,,,,,,,,,
8,A4,10,4,47,55,,,,,,,
8,A4,10,5,47,45,11,9,,,,,
8,A4,10,6,3,5,,,30,,,,
8,A5,10,3,,,,,,,,,
